Fly_ID,Group,Day,Trial,Peak_Velocity,Normalized_Spark
Fly_A,Experimental,1,1,8.722,1.082
Fly_A,Experimental,1,2,7.523,0.933
Fly_A,Experimental,1,3,9.295,1.153
Fly_A,Experimental,1,4,12.107,1.502
Fly_A,Experimental,1,5,7.993,0.992
Fly_A,Experimental,2,1,10.832,1.344
Fly_A,Experimental,2,2,13.1,1.625
Fly_A,Experimental,2,3,14.453,1.793
Fly_A,Experimental,2,4,14.971,1.857
Fly_A,Experimental,2,5,19.165,2.377
Fly_B,Experimental,1,1,8.791,1.108
Fly_B,Experimental,1,2,7.52,0.947
Fly_B,Experimental,1,3,8.464,1.066
Fly_B,Experimental,1,4,10.411,1.312
Fly_B,Experimental,1,5,9.426,1.188
Fly_B,Experimental,2,1,11.042,1.391
Fly_B,Experimental,2,2,13.547,1.707
Fly_B,Experimental,2,3,14.103,1.777
Fly_B,Experimental,2,4,16.419,2.069
Fly_B,Experimental,2,5,18.578,2.341
Fly_C,Experimental,1,1,9.08,1.079
Fly_C,Experimental,1,2,7.963,0.947
Fly_C,Experimental,1,3,9.304,1.106
Fly_C,Experimental,1,4,10.955,1.302
Fly_C,Experimental,1,5,7.685,0.914
Fly_C,Experimental,2,1,11.087,1.318
Fly_C,Experimental,2,2,13.126,1.561
Fly_C,Experimental,2,3,15.096,1.795
Fly_C,Experimental,2,4,16.639,1.978
Fly_C,Experimental,2,5,18.773,2.232
Fly_D,Experimental,1,1,9.646,1.136
Fly_D,Experimental,1,2,5.928,0.698
Fly_D,Experimental,1,3,8.17,0.962
Fly_D,Experimental,1,4,11.538,1.358
Fly_D,Experimental,1,5,8.917,1.05
Fly_D,Experimental,2,1,11.32,1.333
Fly_D,Experimental,2,2,13.419,1.58
Fly_D,Experimental,2,3,14.889,1.753
Fly_D,Experimental,2,4,15.765,1.856
Fly_D,Experimental,2,5,17.996,2.119
Fly_E,Experimental,1,1,8.557,0.979
Fly_E,Experimental,1,2,6.684,0.764
Fly_E,Experimental,1,3,8.309,0.95
Fly_E,Experimental,1,4,11.494,1.315
Fly_E,Experimental,1,5,8.807,1.007
Fly_E,Experimental,2,1,11.821,1.352
Fly_E,Experimental,2,2,14.126,1.616
Fly_E,Experimental,2,3,15.628,1.788
Fly_E,Experimental,2,4,16.655,1.905
Fly_E,Experimental,2,5,18.064,2.066
Fly_F,Experimental,1,1,9.732,1.268
Fly_F,Experimental,1,2,7.983,1.04
Fly_F,Experimental,1,3,8.765,1.142
Fly_F,Experimental,1,4,11.27,1.469
Fly_F,Experimental,1,5,7.626,0.994
Fly_F,Experimental,2,1,10.363,1.35
Fly_F,Experimental,2,2,14.069,1.833
Fly_F,Experimental,2,3,16.049,2.091
Fly_F,Experimental,2,4,16.75,2.183
Fly_F,Experimental,2,5,19.202,2.502
Fly_G,Control,1,1,8.881,1.156
Fly_G,Control,1,2,8.357,1.088
Fly_G,Control,1,3,9.547,1.243
Fly_G,Control,1,4,8.337,1.086
Fly_G,Control,1,5,10.661,1.388
Fly_G,Control,2,1,7.756,1.01
Fly_G,Control,2,2,7.621,0.992
Fly_G,Control,2,3,8.557,1.114
Fly_G,Control,2,4,7.207,0.938
Fly_G,Control,2,5,9.43,1.228
Fly_H,Control,1,1,8.046,0.974
Fly_H,Control,1,2,8.05,0.974
Fly_H,Control,1,3,9.535,1.154
Fly_H,Control,1,4,7.737,0.936
Fly_H,Control,1,5,7.734,0.936
Fly_H,Control,2,1,8.049,0.974
Fly_H,Control,2,2,8.541,1.034
Fly_H,Control,2,3,8.83,1.069
Fly_H,Control,2,4,7.829,0.948
Fly_H,Control,2,5,9.059,1.096
Fly_I,Control,1,1,9.16,1.036
Fly_I,Control,1,2,7.923,0.896
Fly_I,Control,1,3,8.283,0.937
Fly_I,Control,1,4,8.571,0.97
Fly_I,Control,1,5,8.12,0.919
Fly_I,Control,2,1,8.143,0.921
Fly_I,Control,2,2,8.792,0.995
Fly_I,Control,2,3,8.396,0.95
Fly_I,Control,2,4,6.341,0.717
Fly_I,Control,2,5,8.942,1.012
Fly_J,Control,1,1,7.96,1.016
Fly_J,Control,1,2,7.238,0.924
Fly_J,Control,1,3,8.387,1.071
Fly_J,Control,1,4,8.383,1.07
Fly_J,Control,1,5,9.62,1.228
Fly_J,Control,2,1,8.522,1.088
Fly_J,Control,2,2,8.08,1.032
Fly_J,Control,2,3,8.548,1.091
Fly_J,Control,2,4,6.857,0.875
Fly_J,Control,2,5,8.681,1.108
Fly_K,Control,1,1,8.272,1.043
Fly_K,Control,1,2,7.497,0.946
Fly_K,Control,1,3,8.039,1.014
Fly_K,Control,1,4,8.103,1.022
Fly_K,Control,1,5,8.634,1.089
Fly_K,Control,2,1,8.219,1.037
Fly_K,Control,2,2,7.498,0.946
Fly_K,Control,2,3,8.305,1.048
Fly_K,Control,2,4,8.438,1.064
Fly_K,Control,2,5,8.695,1.097
Fly_L,Control,1,1,9.0,1.145
Fly_L,Control,1,2,8.326,1.059
Fly_L,Control,1,3,9.054,1.151
Fly_L,Control,1,4,7.463,0.949
Fly_L,Control,1,5,9.282,1.18
Fly_L,Control,2,1,7.419,0.943
Fly_L,Control,2,2,8.311,1.057
Fly_L,Control,2,3,10.133,1.289
Fly_L,Control,2,4,7.507,0.955
Fly_L,Control,2,5,8.304,1.056
